workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
DS-CNN-KWS,1,kws_t1,OS,ROW_MAJOR,OS-RM,16,16384,16,4,60812.479999999996,73,1.0,1.2372164383561643e-05,1.18,2022832.0
DS-CNN-KWS,1,kws_t1,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,57720.32000000001,73,1.0,1.2372164383561643e-05,1.12,1931552.0
DS-CNN-KWS,1,kws_t1,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,51536.0,73,1.0,1.2372164383561643e-05,1.0,1748992.0
DS-CNN-KWS,1,kws_t1,IS,ROW_MAJOR,IS-RM,16,16384,16,4,51536.0,825,0.08848484848484849,1.0947490909090909e-06,1.0,1748992.0
DS-CNN-KWS,1,kws_t1,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,56689.600000000006,825,0.08848484848484849,1.0947490909090909e-06,1.1,1901312.0
DS-CNN-KWS,1,kws_t1,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,62873.92,825,0.08848484848484849,1.0947490909090909e-06,1.22,2083872.0
DS-CNN-KWS,1,kws_t1,WS,ROW_MAJOR,WS-RM,16,16384,16,4,61843.2,793,0.09205548549810845,1.1389255989911729e-06,1.2,2053632.0
DS-CNN-KWS,1,kws_t1,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,51536.0,793,0.09205548549810845,1.1389255989911729e-06,1.0,1748992.0
DS-CNN-KWS,1,kws_t1,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,58751.03999999999,793,0.09205548549810845,1.1389255989911729e-06,1.14,1961792.0
DS-CNN-KWS,2,kws_t2,OS,ROW_MAJOR,OS-RM,16,16384,16,4,161914.88,2341,1.0,2.469147885519009e-05,1.18,129482528.0
DS-CNN-KWS,2,kws_t2,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,153681.92,2341,1.0,2.469147885519009e-05,1.12,123633328.0
DS-CNN-KWS,2,kws_t2,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,137216.0,2341,1.0,2.469147885519009e-05,1.0,111935488.0
DS-CNN-KWS,2,kws_t2,IS,ROW_MAJOR,IS-RM,16,16384,16,4,137216.0,3093,0.7568703524086647,1.8688248302618817e-05,1.0,111935488.0
DS-CNN-KWS,2,kws_t2,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,150937.6,3093,0.7568703524086647,1.8688248302618817e-05,1.1,121683968.0
DS-CNN-KWS,2,kws_t2,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,167403.52,3093,0.7568703524086647,1.8688248302618817e-05,1.22,133381808.0
DS-CNN-KWS,2,kws_t2,WS,ROW_MAJOR,WS-RM,16,16384,16,4,164659.19999999998,50325,0.04651763537009439,1.1485892101341282e-06,1.2,131432448.0
DS-CNN-KWS,2,kws_t2,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,137216.0,50325,0.04651763537009439,1.1485892101341282e-06,1.0,111935488.0
DS-CNN-KWS,2,kws_t2,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,156426.24,50325,0.04651763537009439,1.1485892101341282e-06,1.14,125583248.0
DS-CNN-KWS,3,kws_ds1,OS,ROW_MAJOR,OS-RM,16,16384,16,4,130498.56,613,1.0,4.618523980424143e-05,1.18,120756208.0
DS-CNN-KWS,3,kws_ds1,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,123863.04000000001,613,1.0,4.618523980424143e-05,1.12,114975888.0
DS-CNN-KWS,3,kws_ds1,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,110592.0,613,1.0,4.618523980424143e-05,1.0,103415808.0
DS-CNN-KWS,3,kws_ds1,IS,ROW_MAJOR,IS-RM,16,16384,16,4,110592.0,4805,0.12757544224765868,5.8921023933402705e-06,1.0,103415808.0
DS-CNN-KWS,3,kws_ds1,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,121651.20000000001,4805,0.12757544224765868,5.8921023933402705e-06,1.1,113049488.0
DS-CNN-KWS,3,kws_ds1,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,134922.24,4805,0.12757544224765868,5.8921023933402705e-06,1.22,124610128.0
DS-CNN-KWS,3,kws_ds1,WS,ROW_MAJOR,WS-RM,16,16384,16,4,132710.4,12581,0.0487242667514506,2.250341944201574e-06,1.2,122683168.0
DS-CNN-KWS,3,kws_ds1,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,110592.0,12581,0.0487242667514506,2.250341944201574e-06,1.0,103415808.0
DS-CNN-KWS,3,kws_ds1,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,126074.87999999999,12581,0.0487242667514506,2.250341944201574e-06,1.14,116902848.0
DS-CNN-KWS,4,kws_ds2,OS,ROW_MAJOR,OS-RM,16,16384,16,4,188497.91999999998,1189,1.0,1.1905614802354919e-05,1.18,206536704.0
DS-CNN-KWS,4,kws_ds2,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,178913.28000000003,1189,1.0,1.1905614802354919e-05,1.12,196214784.0
DS-CNN-KWS,4,kws_ds2,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,159744.0,1189,1.0,1.1905614802354919e-05,1.0,175570944.0
DS-CNN-KWS,4,kws_ds2,IS,ROW_MAJOR,IS-RM,16,16384,16,4,159744.0,9269,0.12827705254072716,1.5272171755313411e-06,1.0,175570944.0
DS-CNN-KWS,4,kws_ds2,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,175718.40000000002,9269,0.12827705254072716,1.5272171755313411e-06,1.1,192774144.0
DS-CNN-KWS,4,kws_ds2,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,194887.68,9269,0.12827705254072716,1.5272171755313411e-06,1.22,213417984.0
DS-CNN-KWS,4,kws_ds2,WS,ROW_MAJOR,WS-RM,16,16384,16,4,191692.8,6725,0.17680297397769518,2.1049481040892192e-06,1.2,209977344.0
DS-CNN-KWS,4,kws_ds2,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,159744.0,6725,0.17680297397769518,2.1049481040892192e-06,1.0,175570944.0
DS-CNN-KWS,4,kws_ds2,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,182108.15999999997,6725,0.17680297397769518,2.1049481040892192e-06,1.14,199654864.0
ResNet-18,1,res18_l1,OS,ROW_MAJOR,OS-RM,16,16384,16,4,517160.95999999996,7525,1.0,3.072571534883721e-05,1.18,371772352.0
ResNet-18,1,res18_l1,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,490864.6400000001,7525,1.0,3.072571534883721e-05,1.12,355807872.0
ResNet-18,1,res18_l1,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,438272.0,7525,1.0,3.072571534883721e-05,1.0,323878912.0
ResNet-18,1,res18_l1,IS,ROW_MAJOR,IS-RM,16,16384,16,4,438272.0,5445,1.382001836547291,4.2462995041322315e-05,1.0,323878912.0
ResNet-18,1,res18_l1,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,482099.2,5445,1.382001836547291,4.2462995041322315e-05,1.1,350486192.0
ResNet-18,1,res18_l1,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,534691.84,5445,1.382001836547291,4.2462995041322315e-05,1.22,382415152.0
ResNet-18,1,res18_l1,WS,ROW_MAJOR,WS-RM,16,16384,16,4,525926.4,200853,0.0374652108756155,1.151145404848322e-06,1.2,377094032.0
ResNet-18,1,res18_l1,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,438272.0,200853,0.0374652108756155,1.151145404848322e-06,1.0,323878912.0
ResNet-18,1,res18_l1,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,499630.07999999996,200853,0.0374652108756155,1.151145404848322e-06,1.14,361129552.0
ResNet-18,2,res18_l2,OS,ROW_MAJOR,OS-RM,16,16384,16,4,264622.07999999996,2341,1.0,4.938295771038018e-05,1.18,192652656.0
ResNet-18,2,res18_l2,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,251166.72000000003,2341,1.0,4.938295771038018e-05,1.12,184326016.0
ResNet-18,2,res18_l2,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,224256.0,2341,1.0,4.938295771038018e-05,1.0,167673856.0
ResNet-18,2,res18_l2,IS,ROW_MAJOR,IS-RM,16,16384,16,4,224256.0,5397,0.43375949601630537,2.142032684824903e-05,1.0,167673856.0
ResNet-18,2,res18_l2,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,246681.6,5397,0.43375949601630537,2.142032684824903e-05,1.1,181550656.0
ResNet-18,2,res18_l2,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,273592.32,5397,0.43375949601630537,2.142032684824903e-05,1.22,198203376.0
ResNet-18,2,res18_l2,WS,ROW_MAJOR,WS-RM,16,16384,16,4,269107.2,50469,0.046384909548435674,2.290624026630209e-06,1.2,195428016.0
ResNet-18,2,res18_l2,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,224256.0,50469,0.046384909548435674,2.290624026630209e-06,1.0,167673856.0
ResNet-18,2,res18_l2,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,255651.83999999997,50469,0.046384909548435674,2.290624026630209e-06,1.14,187101936.0
ResNet-18,3,res18_l3,OS,ROW_MAJOR,OS-RM,16,16384,16,4,436807.68,1189,1.0,9.722918755256518e-05,1.18,451813376.0
ResNet-18,3,res18_l3,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,414597.12000000005,1189,1.0,9.722918755256518e-05,1.12,430309376.0
ResNet-18,3,res18_l3,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,370176.0,1189,1.0,9.722918755256518e-05,1.0,387301376.0
ResNet-18,3,res18_l3,IS,ROW_MAJOR,IS-RM,16,16384,16,4,370176.0,18633,0.06381151720066548,6.204341973917243e-06,1.0,387301376.0
ResNet-18,3,res18_l3,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,407193.60000000003,18633,0.06381151720066548,6.204341973917243e-06,1.1,423141376.0
ResNet-18,3,res18_l3,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,451614.72,18633,0.06381151720066548,6.204341973917243e-06,1.22,466149376.0
ResNet-18,3,res18_l3,WS,ROW_MAJOR,WS-RM,16,16384,16,4,444211.2,26245,0.045303867403314914,4.4048582206134505e-06,1.2,458981376.0
ResNet-18,3,res18_l3,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,370176.0,26245,0.045303867403314914,4.4048582206134505e-06,1.0,387301376.0
ResNet-18,3,res18_l3,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,422000.63999999996,26245,0.045303867403314914,4.4048582206134505e-06,1.14,437476816.0
ResNet-18,4,res18_l4,OS,ROW_MAJOR,OS-RM,16,16384,16,4,1436390.4,2341,1.0,4.938295771038018e-05,1.18,1604502256.0
ResNet-18,4,res18_l4,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,1363353.6,2341,1.0,4.938295771038018e-05,1.12,1524386976.0
ResNet-18,4,res18_l4,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,1217280.0,2341,1.0,4.938295771038018e-05,1.0,1364156416.0
ResNet-18,4,res18_l4,IS,ROW_MAJOR,IS-RM,16,16384,16,4,1217280.0,73782,0.03172860589303624,1.566852403025128e-06,1.0,1364156416.0
ResNet-18,4,res18_l4,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,1339008.0,73782,0.03172860589303624,1.566852403025128e-06,1.1,1497681696.0
ResNet-18,4,res18_l4,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,1485081.5999999999,73782,0.03172860589303624,1.566852403025128e-06,1.22,1657912256.0
ResNet-18,4,res18_l4,WS,ROW_MAJOR,WS-RM,16,16384,16,4,1460736.0,17157,0.13644576557673252,6.73809547123623e-06,1.2,1631206976.0
ResNet-18,4,res18_l4,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,1217280.0,17157,0.13644576557673252,6.73809547123623e-06,1.0,1364156416.0
ResNet-18,4,res18_l4,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,1387699.2,17157,0.13644576557673252,6.73809547123623e-06,1.14,1551091696.0
TinyBERT,1,tbert_ffn1,OS,ROW_MAJOR,OS-RM,16,16384,16,4,173998.08,165,1.0,0.00010168009696969696,1.18,112459664.0
TinyBERT,1,tbert_ffn1,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,165150.72000000003,165,1.0,0.00010168009696969696,1.12,106954304.0
