workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
BERT-Large,4,bert_out,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,131072.0,33029,0.00887099215840625,5.079541009415968e-07,1.0,114294784.0
BERT-Large,4,bert_out,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,149422.08,33029,0.00887099215840625,5.079541009415968e-07,1.14,129708784.0
3D-UNet,1,unet3d_e1,OS,ROW_MAJOR,OS-RM,16,65536,16,4,638332.7999999999,613,1.0,1.5395079934747146e-05,1.18,24392496.0
3D-UNet,1,unet3d_e1,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,605875.2000000001,613,1.0,1.5395079934747146e-05,1.12,23272496.0
3D-UNet,1,unet3d_e1,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,540960.0,613,1.0,1.5395079934747146e-05,1.0,21031936.0
3D-UNet,1,unet3d_e1,IS,ROW_MAJOR,IS-RM,16,65536,16,4,540960.0,16407,0.037362101542024746,5.751925397696106e-07,1.0,21031936.0
3D-UNet,1,unet3d_e1,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,595056.0,16407,0.037362101542024746,5.751925397696106e-07,1.1,22898976.0
3D-UNet,1,unet3d_e1,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,659971.2,16407,0.037362101542024746,5.751925397696106e-07,1.22,25139536.0
3D-UNet,1,unet3d_e1,WS,ROW_MAJOR,WS-RM,16,65536,16,4,649152.0,16391,0.03739857238728571,5.757540113476908e-07,1.2,24766016.0
3D-UNet,1,unet3d_e1,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,540960.0,16391,0.03739857238728571,5.757540113476908e-07,1.0,21031936.0
3D-UNet,1,unet3d_e1,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,616694.3999999999,16391,0.03739857238728571,5.757540113476908e-07,1.14,23646016.0
3D-UNet,2,unet3d_e2,OS,ROW_MAJOR,OS-RM,16,65536,16,4,485744.63999999996,4645,1.0,3.2506984714747037e-05,1.18,235332976.0
3D-UNet,2,unet3d_e2,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,461045.76000000007,4645,1.0,3.2506984714747037e-05,1.12,225286016.0
3D-UNet,2,unet3d_e2,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,411648.0,4645,1.0,3.2506984714747037e-05,1.0,205193216.0
3D-UNet,2,unet3d_e2,IS,ROW_MAJOR,IS-RM,16,65536,16,4,411648.0,5253,0.8842566152674662,2.8744516276413477e-05,1.0,205193216.0
3D-UNet,2,unet3d_e2,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,452812.80000000005,5253,0.8842566152674662,2.8744516276413477e-05,1.1,221937216.0
3D-UNet,2,unet3d_e2,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,502210.56,5253,0.8842566152674662,2.8744516276413477e-05,1.22,242030576.0
3D-UNet,2,unet3d_e2,WS,ROW_MAJOR,WS-RM,16,65536,16,4,493977.6,131149,0.035417730977742874,1.1513236395245103e-06,1.2,238681776.0
3D-UNet,2,unet3d_e2,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,411648.0,131149,0.035417730977742874,1.1513236395245103e-06,1.0,205193216.0
3D-UNet,2,unet3d_e2,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,469278.72,131149,0.035417730977742874,1.1513236395245103e-06,1.14,228635376.0
3D-UNet,3,unet3d_d2,OS,ROW_MAJOR,OS-RM,16,65536,16,4,485744.63999999996,9253,1.0,1.6318485248027664e-05,1.18,408557776.0
3D-UNet,3,unet3d_d2,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,461045.76000000007,9253,1.0,1.6318485248027664e-05,1.12,389703136.0
3D-UNet,3,unet3d_d2,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,411648.0,9253,1.0,1.6318485248027664e-05,1.0,351993856.0
3D-UNet,3,unet3d_d2,IS,ROW_MAJOR,IS-RM,16,65536,16,4,411648.0,5253,1.7614696363982487,2.8744516276413477e-05,1.0,351993856.0
3D-UNet,3,unet3d_d2,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,452812.80000000005,5253,1.7614696363982487,2.8744516276413477e-05,1.1,383418256.0
